confidence,person_f1,people_f1,cyclist_f1
0.0,0.36618814660357685,0.19055097500327184,0.47220106626047215
0.001001001001001001,0.3663164950447663,0.19059492283906065,0.47220106626047215
0.002002002002002002,0.4626268881419346,0.2803168013639853,0.5937661807096072
0.003003003003003003,0.5242609087688633,0.3445746673340069,0.6539817455530673
0.004004004004004004,0.5666545766541035,0.4005603197072889,0.6915497161851617
0.005005005005005005,0.6004940066429303,0.4472819399299539,0.7175466094409886
0.006006006006006006,0.6277643391460783,0.4797446973894975,0.738555955212839
0.007007007007007007,0.6513605244862875,0.5146789240508506,0.7573721373441138
0.008008008008008008,0.671452910736531,0.541047055560002,0.7720077120188764
0.009009009009009009,0.686793625620278,0.561777876711314,0.7815157055563803
0.01001001001001001,0.7010734933693925,0.5809403970318724,0.7923016663499018
0.011011011011011011,0.7133143747663697,0.5996328692785237,0.7992560257140578
0.012012012012012012,0.7249605443539606,0.6149140405545019,0.8110698052231469
0.013013013013013013,0.7350785281993663,0.6288097098577112,0.8152424502966974
0.014014014014014014,0.7432599534077676,0.6442009091029504,0.8231596778841105
0.015015015015015015,0.7524456023277333,0.6539326016646927,0.827531371673551
0.016016016016016016,0.759372716567051,0.6679736213490851,0.8336387082623193
0.017017017017017015,0.766497254769187,0.6799198128956643,0.8378056577035674
0.018018018018018018,0.7742290664454955,0.6864132627623819,0.8402299010885839
0.01901901901901902,0.7803998969882955,0.697460106728148,0.8486650361263879
0.02002002002002002,0.7854687718885783,0.7050702809311721,0.8537257434444001
0.02102102102102102,0.7904991305931403,0.7168691184036231,0.8565833235872181
0.022022022022022022,0.7940504504921385,0.7226208754288829,0.862113226302821
0.023023023023023025,0.7977030231135979,0.7271555670750957,0.8649740658973647
0.024024024024024024,0.8025164341707688,0.7315165368434263,0.8657581016509469
0.025025025025025023,0.8071652831037275,0.7357949519457161,0.8691464895647406
0.026026026026026026,0.8106988422429936,0.7438535660113045,0.8707533418056776
0.02702702702702703,0.8138178115889355,0.7501282578230679,0.8733855104697799
0.028028028028028028,0.8173630723510548,0.7532457597463481,0.8746052723157557
0.029029029029029027,0.8195656224206598,0.7562645120693487,0.8807376838698134
0.03003003003003003,0.8218919350878681,0.7632715232134307,0.8832087253599528
0.031031031031031032,0.823881194268641,0.7696624260382694,0.8852057966921955
0.03203203203203203,0.8267132544301304,0.7719059241226405,0.886000616139412
0.03303303303303303,0.8297060470450626,0.7755371460277948,0.8886806706963398
0.03403403403403403,0.8320538322982599,0.779303039331521,0.8900685065428939
0.035035035035035036,0.8342103503505625,0.7821001517030799,0.8917156731223811
0.036036036036036036,0.8355580503045954,0.7861593653694225,0.8927507175998187
0.037037037037037035,0.8379517691347728,0.7890815771371463,0.8936800694559515
0.03803803803803804,0.8404160705650573,0.7926735053400463,0.895735160643256
0.03903903903903904,0.8423987694809086,0.7959819296791553,0.8981534768158467
0.04004004004004004,0.8438684009650171,0.7995288059693709,0.9001557899000132
0.04104104104104104,0.8456061910031615,0.8018568977875762,0.9006775506633335
0.04204204204204204,0.8473363561841719,0.8065774652269936,0.9011988047366302
0.043043043043043044,0.8492274837916409,0.8090933910367077,0.9017681532716973
0.044044044044044044,0.8511631442717602,0.8106205791537574,0.9023524952916496
0.04504504504504504,0.8530754321065589,0.8111856322234576,0.9031339946146183
